C2_SimpleBashUtils,None,250
C3_s21_string,C2_SimpleBashUtils,500
C4_s21_math,C3_s21_string,300
C5_s21_decimal,C4_s21_math,350
C6_s21_matrix,C5_s21_decimal,200
C7_SmartCalc_v1_0,C6_s21_matrix,500
C8_3DViewer_v1_0,C7_SmartCalc_v1_0,750
DO1_Linux,C3_s21_string,300
DO2_LinuxNetwork,DO1_Linux,250
DO3_LinuxMonitoring_v1.0,DO2_LinuxNetwork,350
DO4_LinuxMonitoring_v2.0, DO3_LinuxMonitoring_v1.0,350
DO5_SimpleDocker, DO3_LinuxMonitoring_v1,300
DO6_CICD, DO5_SimpleDocker,300
CPP1_s21_matrix,C8_3DViewer_v1,300
CPP2_s21_containers,CPP1_s21_matrix,350
CPP3_SmartCalc_v2_0,CPP2_s21_containers,600
CPP4_3DViewer_v2_0,CPP3_SmartCalc_v2_0,750
CPP5_3DViewer_v2_1, CPP4_3DViewer_v2_0,600
CPP6_3DViewer_v2_2, CPP4_3DViewer_v2_0,800
CPP7_MLP,CPP4_3DViewer_v2_0,700
CPP8_PhotoLab_v1_0, CPP4_3DViewer_v2_0,450
